question,answer
How do I reset my password?,Go to the IT portal and choose Forgot Password.
I forgot my password,Use the password reset option on the IT portal.
I cannot log into my student account,Try resetting your password first or contact IT support.
My account is locked,Contact IT support so they can unlock your account.
How do I access Moodle?,Log in to Moodle using your student username and password.
Moodle is not opening for me,Try another browser or contact technical support.
Where can I see my grades?,You can check your grades in the student center.
How do I check my final grade?,Final grades are posted in the student center.
How do I pay tuition?,Tuition can be paid online through the finance portal.
I am late paying tuition,Contact the finance office to ask about payment options.
Where do I find my tuition balance?,Your tuition balance is shown in the student center.
How do I register for courses?,Use the course registration page in the student portal.
How do I drop a course?,Go to course registration and choose the drop option.
Can I change my course section?,You can change sections if seats are still available.
How do I join a waitlist?,Use the waitlist option in the course registration system.
Where is the registrar office?,The registrar office is in Building A room 210.
How do I request a transcript?,Request your transcript through the student center.
How do I get proof of enrollment?,You can request proof of enrollment from the student center.
How do I contact an academic advisor?,Book an advising appointment through your department page.
I need help choosing courses,Contact your academic advisor for course planning.
Can I retake a failed course?,Yes you can usually retake a failed course in another term.
What if I miss an exam?,Contact your professor as soon as possible.
I missed a quiz,Email your professor and explain your situation.
How do I submit an assignment?,Submit it through the assignment section on Moodle.
I uploaded the wrong file,Contact your professor or TA as soon as possible.
How do I contact my professor?,Check the course outline for the professor email.
How do I contact my TA?,The TA contact information is usually on Moodle or the course outline.
Where can I find the course outline?,Course outlines are usually posted on Moodle.
How do I know my classroom?,Check your class schedule in the student portal.
Where is the library?,Check the campus map or library website for the exact location.
What are the library hours?,Library hours are posted on the library website.
How do I book a study room?,Use the library website to book a study room.
Where can I print documents?,Printing is usually available in the library and computer labs.
How do I connect to campus WiFi?,Use your student login to connect to the campus WiFi.
The WiFi is not working,Reconnect with your student account or contact IT support.
How do I get my student ID card?,Visit student services with valid photo identification.
I lost my student card,Contact student services to ask for a replacement card.
Where can I find internships?,Check the career center website and job posting portal.
How do I apply for scholarships?,Look at the scholarships page on the university website.
I need financial aid help,Contact the financial aid office for support.
